ticker,phase,score,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
ILLR,ACTIVE_RECLAIM_WATCH,100.0,3.86,1h,log_regression,OUTSIDE_DOWN,-0.053,6,0.7691,2.66,daily,100.0,nearest_support_gap_hi,3.84,True,True,86.53,86.53,7.77,GAPS_MISSING,ascending channel/control | near channel envelope | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,deep_damage_pullback
IVF,ACTIVE_RECLAIM_WATCH,100.0,2.13,1h,log_regression,MID,0.367,6,1.36,1.85,daily,95.0,nearest_support_gap_hi,2.115,True,True,46.01,46.01,6.1,OPTIONS_MISSING,ascending channel/control | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,deep_damage_pullback
RIVN,ACTIVE_RECLAIM_WATCH,100.0,16.425,1h,log_regression,AT_LOWER,0.11,20,14.22,14.355,weekly,90.0,nearest_support_gap_hi,16.31,True,True,10.02,10.02,0.73,GAPS_MISSING,ascending channel/control | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 10.02% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
LCID,ACTIVE_RECLAIM_WATCH,100.0,6.24,5m,log_regression,MID,0.574,21,4.7001,4.71,15m,53.19,nearest_support_gap_hi,6.215,True,True,9.29,9.29,0.16,GAPS_MISSING,ascending channel/control | inside/near channel rails | deep bullish shelf stack underneath | controlled pullback 9.29% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
HIVE,ACTIVE_RECLAIM_WATCH,100.0,3.645,daily,log_regression,MID,0.339,13,2.78,3.6,weekly,100.0,nearest_support_gap_hi,3.625,True,True,8.37,8.37,0.73,OPTIONS_MISSING,ascending channel/control | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 8.37% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
RXRX,ACTIVE_RECLAIM_WATCH,100.0,3.655,1h,log_regression,MID,0.421,23,3.52,3.615,weekly,94.12,nearest_support_gap_hi,3.64,True,True,6.7,6.7,1.5,OPTIONS_MISSING,ascending channel/control | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 6.7% from recent high | recent tag/reclaim of nearest_support_gap_hi,overhead_gap_too_close
FLO,ACTIVE_RECLAIM_WATCH,100.0,7.965,1h,log_regression,AT_UPPER,0.716,24,7.09,7.62,daily,100.0,nearest_support_gap_hi,7.91,True,True,0.69,0.69,6.34,OPTIONS_MISSING,ascending channel/control | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi,
LXRX,ACTIVE_RECLAIM_WATCH,100.0,2.595,daily,log_regression,OUTSIDE_UP,1.092,26,1.925,1.95,weekly,92.68,nearest_support_gap_hi,2.562,True,True,0.58,0.58,0.19,OPTIONS_MISSING,ascending channel/control | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi,overhead_gap_too_close
ATAI,ACTIVE_RECLAIM_WATCH,100.0,5.235,weekly,log_regression,MID,0.389,26,4.06,4.17,weekly,97.5,nearest_support_gap_hi,5.11,True,True,0.0,0.0,12.51,OPTIONS_MISSING,ascending channel/control | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi,
CIFR,ACTIVE_RECLAIM_WATCH,100.0,24.73,daily,log_regression,MID,0.417,12,23.1,23.315,weekly,93.75,nearest_support_gap_hi,24.64,True,True,0.0,0.0,2.79,OPTIONS_MISSING,ascending channel/control | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi,
